ASN	Name	Registration date	Global rank	#routeable IPv4	#prefixes IPv4	#prefixes IPv6
198335	TRANSATEL TRANSATEL SA,FR	2011-12-15	21,477	2,048	1	1
198507	INSA-TELECOM INSA Telecom,FR	2012-05-22	20,058	2,048	4	1
198550	SNCLAVALIN-FR SNC-Lavalin SAS,FR	2012-06-13	19,251	2,048	1	
198553	ASN-CACIIS CACIIS Sarl,FR	2012-03-05	20,062	2,048	3	
198641	GFI-AS GFI Informatique-Production S.A.,FR	2012-03-30	21,259	2,048	5	
198682	HNETWORKS-AS Netiwan SAS,FR	2012-04-13	18,832	2,048	1	1
199349	NEOLANE-SA Neolane S.A.,FR	2013-03-01	20,132	2,048	5	3
199422	REZOPOLE Rezopole A.D.,FR	2013-01-24	21,755	2,048	4	2
199571	EASTER-EGGS-AS EASTER-EGGS SARL,FR	2012-11-20	19,764	2,048	1	2
199653	ARUBAFR-AS Aruba SAS,FR	2012-10-24	20,567	2,048	2	1
199997	ATOMES-AS Ippon Hosting SARL,FR	2013-11-07	21,384	2,048	6	
8567	European Telecommunications Standards Institute (E	1997-12-02	22,246	1,792	7	1
8891	Orange S.A.	1998-07-17	22,317	1,792	6	15
15846	COFACE S.A.	2000-10-24	22,295	1,792	7	
21070	Total S.A.	2001-08-14	22,121	1,792	6	
25113	Orange S.A.	2002-07-30	22,193	1,792	7	
34000	Conseil General des Bouches-du-Rhone	2004-09-28	22,312	1,792	7	
35344	SYNTEN Sarl	2005-07-20	22,100	1,792	4	
39389	Cursys Sarl	2006-02-13	22,516	1,792	3	2
47820	CEGID SA	2008-08-27	22,522	1,792	4	
48426	"OVER-LINK" s.a.s.	2008-11-25	22,427	1,792	6	
50133	Wimifi Systems Telecom and Electronics SARL	2009-11-20	22,239	1,792	6	
50314	Quant House SAS	2009-12-17	22,242	1,792	7	1
197455	SMILE SMILE SA,FR	2010-12-09	22,418	1,792	3	
198545	FLEXNETWORK-AS FLEX NETWORK SARL,FR	2012-03-01	22,332	1,792	3	
199397	SUNGARD-FR-AS SunGard Availability Services France	2013-02-06	22,467	1,792	4	
199792	CAPDECISION CAPDECISION SARL,FR	2014-01-22	22,350	1,792	7	
201676	CS1 CEGEDIM SECTEUR 1 - CS1 Sa,FR	2014-08-18	22,426	1,792	5	
2486	AFNIC (Association Francaise pour le Nommage Inter	1993-09-01	22,786	1,536	3	5
15422	PPR SA	2000-06-27	23,167	1,536	5	
16046	Navlink	2000-11-30	23,337	1,536	3	
16236	Peugeot Citroen Automobile SA	2001-02-05	22,639	1,536	6	
29639	EUROCENTER GAMES SARL	2003-10-29	22,926	1,536	6	
34197	Saint Honore Recherche et Developpement SARL	2004-11-16	23,379	1,536	2	
34493	OCCTERRA SAS	2005-01-31	23,497	1,536	2	
35600	VEDEGE SAS	2005-09-14	22,870	1,536	2	2
39072	Open Web Network Solutions SARL	2005-12-07	23,296	1,536	2	
39583	Pertineo SAS	2006-03-21	23,419	1,536	2	
41405	AZYLOG	2006-08-14	23,174	1,536	5	
49477	E-TF1 SAS	2009-06-16	23,238	1,536	2	
50845	VeriFone Systems France SAS	2010-04-08	23,153	1,536	6	
50897	TELECOM Bretagne	2010-04-16	23,157	1,536	6	
51870	La Francaise des Jeux	2011-01-12	23,346	1,536	6	
57468	AZA TELECOM SARL	2011-11-03	22,827	1,536	2	1
61236	WHD-RS SARL	2012-12-27	22,683	1,536	4	
197014	WINAMAX Winamax SAS,FR	2010-04-09	22,958	1,536	2	
198340	AIRFRANCE-AS Societe Air France S.A.,FR	2012-03-20	22,864	1,536	6	
199162	PRED-AS PREDICTYS SAS,FR	2013-04-05	22,710	1,536	2	
12516	Weborama SA	2001-01-15	23,503	1,280	3	
16071	LEGRAND FRANCE	2000-12-13	24,511	1,280	2	
20672	Groupe Serveur SAS	2001-05-04	23,887	1,280	2	
21033	ESSILOR International SA	2001-08-02	23,751	1,280	5	
21272	Danone SA	2001-10-11	24,293	1,280	5	
24600	Orange S.A.	2002-01-15	23,506	1,280	5	8
31132	CIENUM SAS	2010-09-16	24,078	1,280	4	
31180	ORT	2004-03-16	23,957	1,280	5	
31235	SKIWEBCENTER SARL	2004-03-29	23,960	1,280	4	
35717	L'Odyssee Interactive Jeuxvideo.com, SAS	2005-10-11	24,254	1,280	2	2
35798	DEVERYWARE S.A.	2009-01-22	23,996	1,280	2	
39715	Webstore Sarl	2006-04-13	23,950	1,280	2	
43436	LE FIGARO	2007-07-31	24,373	1,280	2	
48296	Cephalonet	2008-11-06	23,838	1,280	3	
50812	Axess OnLine SARL	2010-03-29	23,617	1,280	5	
57581	STREEEMING SAS	2011-12-05	23,801	1,280	3	3
59842	BELIEVE SAS	2014-09-05	24,121	1,280	2	
60595	NEPTUNE INTERNET SERVICES s.a.r.l	2013-06-19	23,612	1,280	2	1
60718	OELIS SARL	2013-05-23	23,615	1,280	2	
197056	BLUEACACIA-AS Blue Acacia SARL,FR	2010-06-21	24,471	1,280	2	
197422	TETANEUTRAL-NET-AS Association TETANEUTRAL.NET,FR	2011-02-24	24,219	1,280	3	1
197638	SA-EMEA-AS SANOFI AVENTIS,FR	2011-03-08	24,224	1,280	5	1
197662	NC2 NC2 Network Computer Communication SAS,FR	2011-03-17	24,486	1,280	6	1
197685	DCFORDATA DcforData SRL,FR	2011-03-25	23,686	1,280	2	1
197732	SGCA SARL SGCA,FR	2011-04-08	24,488	1,280	3	
198180	DREAMLEADINTERACTIVE Dreamlead Interactive SARL,FR	2011-10-27	23,847	1,280	5	
198706	IBO-SAS IBO SAS,FR	2012-04-17	23,637	1,280	2	
199586	MA2T MA2T SARL ASSOCIE UNIQUE,FR	2012-11-14	24,468	1,280	5	1
200077	ARKADIN_AS ARKADIN SAS,FR	2013-10-15	23,821	1,280	3	
202140	DIS DIRECT INFO SERVICE SARL,FR	2014-03-27	23,853	1,280	5	
3297	Societe Generale	1995-01-24	30,106	1,024	3	
12565	LDLC.com SA	2008-12-29	28,826	1,024	1	
12629	Option Service SAS	1999-08-30	25,258	1,024	1	
13223	CONSEIL DE L EUROPE	2000-05-10	24,612	1,024	4	
16009	Alcyonis Global Internet	2000-11-23	27,761	1,024	3	
16080	Rentabiliweb Telecom	2000-12-14	29,893	1,024	3	1
16189	KLEE SA	2001-01-18	27,047	1,024	2	
21093	Bouygues Telecom S.A.	2001-08-27	27,292	1,024	4	
25117	Euro-Information-Europeenne de Traitement de l'Inf	2012-01-11	28,168	1,024	4	
29092	NextiraOne Europe B.V.	2003-05-30	26,961	1,024	4	
29137	Eutelsat S.A.	2003-06-13	28,421	1,024	2	
34002	Interxion France S.A.	2004-09-28	28,684	1,024	1	
34774	Honeywell Europe Services SAS	2005-04-01	26,633	1,024	4	
39506	Syntis SARL	2006-03-08	25,404	1,024	3	
39542	SIGMA INFORMATIQUE SAS	2006-03-16	28,966	1,024	4	
41191	Mappy SA	2006-06-28	29,560	1,024	1	
43278	BLOGSPIRIT	2007-07-09	26,945	1,024	2	
43311	Benchmark Group SA	2007-07-11	27,666	1,024	3	
43460	Sanofi Aventis group SA	2007-08-03	24,864	1,024	2	
44000	NET1C NETWORK	2007-11-01	24,627	1,024	1	
44850	EPA Institut de Recherche pour le Developpement	2008-03-20	27,538	1,024	5	
47265	DigiPlug SASU	2008-05-27	26,094	1,024	1	
