ASN	Name	Registration date	Global rank	#routeable IPv4	#prefixes IPv4	#prefixes IPv6
44497	Host Europe Iberia SL	2008-01-29	17,232	3,072	2	
47683	MULTICANAL DEL CABLE TVM SL	2008-08-01	16,732	3,072	2	
49650	Everex Comunicaciones SA	2009-07-21	17,385	3,072	5	
57877	CONSULTORES DE VOZ Y DATOS SL	2012-03-02	17,451	3,072	2	
59432	GINERNET S.L.	2012-07-10	17,428	3,072	12	2
59631	Campina Digital S.L	2012-08-30	17,036	3,072	3	
61408	AGO TELECOM S.L	2012-10-23	17,206	3,072	2	
62055	SUVOZ GLOBAL SERVICES S.L.	2014-03-03	17,422	3,072	3	1
62332	Telplay SL	2013-10-31	16,716	3,072	12	
198454	SISTEC-AS Sistec Telecom S.L.,ES	2012-05-18	16,999	3,072	2	
198731	PRISCO-AS Prisco Electronica S.L,ES	2012-04-25	16,683	3,072	2	
199380	A2Z-AS A2Z TELECOMUNICACIONES, S.L.,ES	2013-02-18	16,817	3,072	6	
199482	SANGANET-AS SANGANET TELECOMUNICACIONES SL,ES	2013-01-08	16,712	3,072	9	
201705	NETPORTS Netports S.L.,ES	2014-08-08	17,266	3,072	2	
15810	Banco Bilbao Vizcaya Argentaria, S.A.	2000-10-18	17,536	2,816	11	
43697	Govern de les Illes Balears	2007-09-14	17,589	2,816	5	
16349	Fon Wireless LTD	2011-03-29	18,137	2,560	2	1
24830	CIRCUITOS ALJARAFE, S.L.	2002-04-16	18,139	2,560	7	
43578	Idata Green Center S.L.	2007-08-27	18,030	2,560	10	
48990	Atalaya Television S.L.	2009-03-19	18,109	2,560	8	1
49940	FERIA INTERNACIONAL DE BARCELONA	2009-10-14	17,839	2,560	10	
56909	TD PR ARLU S.A	2011-06-09	18,144	2,560	2	
58327	GLOBE OPERATOR TELECOM SL	2012-06-26	17,823	2,560	2	
196816	NIXUS-AS Nixus Networks S.L,ES	2011-09-13	18,212	2,560	10	
199343	LOJA-AS TV Loja Comunicaciones, S.L.,ES	2013-03-04	18,211	2,560	7	
199581	DATARUSH Data Rush IT Services, S.L.,ES	2012-11-16	17,797	2,560	3	1
199770	PELUCHE-AS Grupo Empresarial Peluche, S.L.U.,ES	2014-01-31	18,219	2,560	6	
43833	Producmedia,S.L.U.	2007-10-05	18,533	2,304	5	1
50046	Housing Boulevard S.A.	2009-11-02	18,456	2,304	3	
50518	BENN TELCO, S.L.	2010-02-02	18,652	2,304	2	
50563	Onlycable Comunicaciones S.L.	2010-02-11	18,720	2,304	10	
51718	Hospedaje y Dominios S.L.	2010-10-25	18,644	2,304	6	
56345	TVB TELEDISTRIBUCION S.L.	2011-02-08	18,788	2,304	3	
2114	ESCUELAS DE ESTUDIOS SUPERIORES ESIC SACERDOTES DE	2011-06-09	20,543	2,048	1	
13168	Banco Mare Nostrum SA	2008-04-01	20,743	2,048	1	
28971	MEDIAFUSION ESPANA, S.A.	2003-04-24	21,055	2,048	1	
31739	ATLAS INTERNET SL	2004-07-29	21,039	2,048	1	
35171	Uniway Technologies SL	2005-06-15	20,064	2,048	2	
35288	INTERDIGITAL CORPORACION TECNOLOGICA S.L.	2005-07-11	21,289	2,048	1	
35454	Asitur Asistencia, S.A.	2010-03-12	19,697	2,048	9	
39141	SOCIEDAD DE PLANIFICACION Y DESARROLLO, SOPDE,SA	2012-06-21	21,494	2,048	1	1
39780	Tecnocom Telecomunicaciones y Energia S.A.	2006-04-24	19,115	2,048	2	1
40973	Junta de Comunidades de Castilla-La Mancha	2006-05-23	20,855	2,048	3	
42241	Sociedad para el desarrollo economico y fomento de	2007-01-22	19,503	2,048	1	
42992	Siosi	2007-05-22	22,011	2,048	1	
43636	Fon Wireless LTD	2007-09-05	20,201	2,048	1	
43655	SENER Ingenieria y Sistemas S.A.	2007-09-06	18,999	2,048	1	
43707	Comision Nacional de Energia	2007-09-17	20,208	2,048	2	
43919	Safa Galenica, S.A.	2007-10-18	21,487	2,048	2	
44431	OmniAccess S.L.	2008-01-18	21,949	2,048	1	
44561	WEB DREAMS S.L.	2008-02-05	21,957	2,048	1	
44588	INFOJOBS,S.A	2008-02-08	20,314	2,048	1	
44707	CAJA DE AHORROS DE ASTURIAS	2008-02-27	21,138	2,048	4	
44762	Infotel, Informacion y Telecomunicaciones, S.A.	2008-03-05	19,926	2,048	1	
44978	MINISTERIO DE MEDIO AMBIENTE Y MEDIO RURAL Y MARIN	2008-04-11	21,175	2,048	2	
44998	GOBIERNO DE CANARIAS	2008-04-16	19,954	2,048	1	1
47973	FORMACION DIGITAL S.L.	2008-09-23	19,974	2,048	1	1
48187	ARABAKO FORU ALDUNDIA / DIPUTACION FORAL DE ALAVA	2008-10-22	19,217	2,048	1	
48202	ODEC, CENTRO DE CALCULO Y APLICACIONES INFORMATICA	2008-10-24	19,218	2,048	9	
48221	EMPRESAS MUNICIPALES DE SEVILLA, A.I.E.	2008-10-27	22,054	2,048	1	
48640	MAZ, Mutua de Accidentes de Trabajo y Enfermedades	2008-12-19	19,758	2,048	1	1
48697	Amadeus Soluciones Tecnologicas S.A.	2009-01-06	20,971	2,048	1	
48710	Migjornser s.l.	2009-01-16	21,835	2,048	1	
48864	Centro Municipal de Informatica de Malaga	2009-02-19	20,586	2,048	1	
48958	PRESENZIA GLOBAL S.L.	2009-03-06	20,456	2,048	1	
49388	Intercom Telematica Girona, S.L.	2009-06-02	20,066	2,048	1	
49493	SVT Proveedor de Servicios Internet SL	2009-06-18	20,472	2,048	2	
50715	SERVIABERTIS S.L.	2010-03-15	21,352	2,048	5	
51007	MEDIAPRODUCCION SL	2010-05-14	20,941	2,048	9	
51294	HUBARA hosting solutions, S.L.	2010-07-15	21,373	2,048	1	
56422	107082 Telecom, S.L.	2011-02-17	20,593	2,048	1	
56732	HOSTINET S.L.U.	2011-05-05	19,424	2,048	1	
56989	Meteoespana SL	2011-06-29	20,252	2,048	1	1
57023	ORAN LINK S.L.	2011-07-04	21,500	2,048	1	1
57309	Vadovice Interactiva SL	2011-09-20	20,694	2,048	1	1
57365	Numintec Comunicaciones S.L.	2011-10-10	19,896	2,048	1	
57656	ALTIA CONSULTORES S.A.	2011-12-29	21,584	2,048	1	
57677	SINTELEC INFORMATICA, S.L.	2012-01-10	21,589	2,048	2	1
57929	Octanio Sistemas Informaticos SL	2012-03-14	20,364	2,048	1	
58233	MasBytes SL	2012-05-31	19,992	2,048	1	
59499	Mutua Madrilena Automovilista Sociedad De Seguros 	2012-07-26	20,686	2,048	1	1
62104	Computer Service Internet Service Provider S.L.	2014-02-12	19,052	2,048	2	
62412	Sergio Cano Lopez	2013-10-02	19,514	2,048	2	1
197267	RETEVISION-I-AS Retevision I, S.A.,ES	2010-09-15	19,125	2,048	1	
197829	GOBIERNO-DE-NAVARRA Gobierno de Navarra,ES	2011-05-19	19,613	2,048	4	
197963	FROMTHEBENCH-AS From the Bench, S.L.,ES	2011-07-19	19,636	2,048	1	
198066	LOADING Loading AS,ES	2011-09-21	21,690	2,048	8	
198144	RONDA COMUNICACIONES RONDA, S.L.,ES	2011-10-13	20,020	2,048	7	
198153	DCSTD-SEIDOR AS SEIDOR DATACENTER SANTANDER,ES	2011-10-20	19,243	2,048	1	
198192	ASN-TELEPORTE TELEPORTE S.L.,ES	2011-11-03	19,247	2,048	4	
198270	SEGURIBER Grupo Seguriber S.L.,ES	2011-11-30	19,662	2,048	1	
198355	EUROH Eurohigh Tech Developments,S.L.,ES	2011-12-22	19,668	2,048	8	
198653	CITEC-AS Centro Canario de Tratamiento de Informac	2012-04-04	20,595	2,048	1	
198885	REBELOAK Rebeloak SL,ES	2012-06-12	21,004	2,048	8	
198934	ADJENET-AS Julian Alberto Gomez Hernandez trading 	2012-06-25	21,877	2,048	4	
198968	CYBERNETICOS Cyberneticos Hosting SL,ES	2012-07-04	20,213	2,048	4	
199134	GRUPOGIMENO-ASN1 Sociedad de Fomento Agricola Cast	2012-08-20	20,236	2,048	1	1
199143	INDALECCIUS Indaleccius Broadcasting SL,ES	2013-04-08	20,241	2,048	1	
199736	IGUANA-AS Iguana Comunicacions S.L.,ES	2014-02-19	21,951	2,048	2	1
201453	AKIWIFI NOSTRAVANT S.L.L.,ES	2014-10-23	20,790	2,048	2	1
202005	ASBONAREA Corporacion Alimentaria Guissona, S.A,ES	2014-05-06	20,035	2,048	2	
9192	LleidaNetworks Serveis Telematics S.A.	1999-02-11	22,448	1,792	7	
44278	GRANACABLE S.L	2007-12-17	22,352	1,792	3	
51457	CONECTA WIRELESS S.L.	2010-08-31	22,212	1,792	7	
60267	CABLEWORLD SL	2013-08-22	22,362	1,792	6	
200072	VOF-AS VIRTUAL OPTICAL FIBER S.L.,ES	2013-10-16	22,231	1,792	5	
15548	CAJAS RURALES UNIDAS, SOCIEDAD COOPERATIVA DE CRED	2000-08-02	22,775	1,536	5	
39140	Appser Data Engineering S.L.	2005-12-19	23,222	1,536	6	
44233	SPC Net Soluciones de Negocio Electronico S.L.	2007-12-07	23,473	1,536	6	
44717	Videoluc S.A.	2008-02-28	23,482	1,536	3	
50146	NAP de Las Americas-Madrid, S.A.	2009-11-23	22,589	1,536	5	1
51773	SOFTONIC INTERNATIONAL S.L.	2010-11-03	22,578	1,536	3	1
57337	VR Telecom SL	2011-09-29	23,113	1,536	3	
60711	FERNANDO PEREZ MORALES	2013-05-24	23,515	1,536	5	
197974	AVYS AVYS Telecom S.L.,ES	2011-07-27	22,924	1,536	4	
199290	MOWITEL INSTALACIONES Y SERVICIOS MOWITEL S.L.,ES	2013-04-02	23,469	1,536	2	
202158	TVMAZARRON Tele Satelite De Mazarron SL,ES	2014-11-05	23,072	1,536	3	
25356	SECURITAS DIRECT ESPANA S.A.U.	2002-10-15	23,729	1,280	2	
30846	MAPFRE INTERNET, S.A.	2003-12-19	23,977	1,280	4	
33932	Minorisa de Sistemas Informaticos i de Gestion	2004-09-09	23,820	1,280	2	
48048	INDRA SISTEMAS, S.A.	2008-10-02	24,421	1,280	2	
50429	ATOS Spain SA	2010-01-14	23,538	1,280	5	
57269	Digi Spain Telecom SL	2011-09-09	24,142	1,280	4	
59682	inAsset Networks, S.L.	2012-09-19	24,147	1,280	2	1
59885	TELECUATRO C.B.	2014-08-21	23,615	1,280	4	
